Time (s); Distance (mm); Speed (mm/s); Z-Angle (mdps); Distance corrected (mm); Target Speed; PWM Value
9.69666; 0.00000; 1082.34811; 1.22558; 0.00000; 1000.00000;   297
9.70699; 10.99557; 1058.28436; -0.40844; 10.99557; 1000.00000;   325
9.71765; 21.99115; 1041.14899; -2.07079; 21.99115; 1000.00000;   340
9.72833; 32.98672; 1005.53950; -2.00489; 32.98672; 1000.00000;   379
9.73936; 43.98230; 1008.86085; -1.40852; 43.98230; 1000.00000;   368
9.75002; 54.97787; 1040.75480; -1.12575; 54.97787; 1000.00000;   330
9.76033; 65.97345; 1070.75416; -0.09724; 65.97345; 1000.00000;   300
9.77028; 76.96902; 1087.48635; 0.13759; 76.96902; 1000.00000;   284
9.78022; 87.96460; 1089.10207; 1.02114; 87.96460; 1000.00000;   285
9.79052; 98.96017; 1064.74043; 1.23352; 98.96017; 1000.00000;   313
9.80119; 109.95574; 1041.64214; -0.02016; 109.95574; 1000.00000;   336
9.81222; 120.95132; 1012.57707; -0.85895; 120.95132; 1000.00000;   365
9.82289; 131.94689; 1013.88423; -1.59572; 131.94689; 1000.00000;   358
9.83352; 142.94247; 1042.62985; 0.37010; 142.94247; 1000.00000;   324
9.84383; 153.93804; 1073.78657; 5.48899; 153.93804; 1000.00000;   291
9.85377; 164.93362; 1085.01820; 14.34734; 164.93362; 1000.00000;   283
9.86408; 175.92919; 1060.42766; 25.12218; 175.92919; 1000.00000;   314
9.87475; 186.92477; 1044.31327; 37.08921; 186.92477; 1000.00000;   327
9.88578; 197.92034; 1004.98807; 50.12025; 197.92034; 1000.00000;   371
9.89678; 208.91591; 992.38037; 61.57128; 208.91591; 1000.00000;   379
9.90781; 219.91149; 982.88857; 73.11574; 219.91149; 1000.00000;   388
9.91883; 230.90706; 1000.87151; 79.37295; 230.90706; 1000.00000;   365
9.92950; 241.90264; 1027.52775; 86.99607; 241.90264; 1000.00000;   336
9.94018; 252.89821; 1045.50484; 91.33351; 252.89821; 1000.00000;   319
9.95084; 263.89379; 1029.25905; 94.38185; 263.89379; 1000.00000;   341
9.96151; 274.88936; 1016.13293; 102.27464; 274.88936; 1000.00000;   354
9.97290; 285.88494; 976.34296; 113.02983; 285.88494; 1000.00000;   398
9.98465; 296.88051; 936.43114; 123.36959; 296.88051; 1000.00000;   439
9.99641; 307.87608; 925.24188; 135.68033; 307.87608; 1000.00000;   446
10.00816; 318.87166; 951.91537; 138.22552; 318.87166; 1000.00000;   414
10.01955; 329.86723; 966.72889; 135.29737; 329.86723; 1000.00000;   402
10.03058; 340.86281; 993.36656; 136.21004; 340.86281; 1000.00000;   373
10.04161; 351.85838; 980.17244; 139.59686; 351.85838; 1000.00000;   393
10.05300; 362.85396; 987.47862; 139.54758; 362.85396; 1000.00000;   383
10.06439; 373.84953; 956.05377; 148.33070; 373.84953; 1000.00000;   421
10.07615; 384.84511; 944.71814; 150.74033; 384.84511; 1000.00000;   430
10.08750; 395.84068; 949.94164; 150.32595; 395.84068; 1000.00000;   423
10.09889; 406.83625; 968.77308; 146.28839; 406.83625; 1000.00000;   402
10.10991; 417.83183; 995.07461; 141.67870; 417.83183; 1000.00000;   374
10.12094; 428.82740; 1011.45934; 139.78590; 428.82740; 1000.00000;   359
10.13197; 439.82298; 998.59908; 142.86539; 439.82298; 1000.00000;   378
10.14264; 450.81855; 1015.75745; 143.76427; 450.81855; 1000.00000;   355
10.15402; 461.81413; 972.02744; 152.68049; 461.81413; 1000.00000;   410
10.16541; 472.80970; 962.49776; 154.22399; 472.80970; 1000.00000;   414
10.17714; 483.80528; 950.51646; 155.52821; 483.80528; 1000.00000;   427
10.18853; 494.80085; 970.05509; 152.62561; 494.80085; 1000.00000;   402
10.19919; 505.79642; 1018.10875; 148.35682; 505.79642; 1000.00000;   348
10.20987; 516.79200; 1024.36878; 151.31538; 516.79200; 1000.00000;   350
10.22090; 527.78757; 1004.80439; 155.26306; 527.78757; 1000.00000;   374
10.23193; 538.78315; 1002.78837; 155.64500; 538.78315; 1000.00000;   373
10.24296; 549.77872; 975.04429; 160.70193; 549.77872; 1000.00000;   405
10.25435; 560.77430; 967.23913; 158.62442; 560.77430; 1000.00000;   410
10.26610; 571.76987; 954.06286; 162.20918; 571.76987; 1000.00000;   425
10.27714; 582.76545; 974.95783; 157.97888; 582.76545; 1000.00000;   398
10.28817; 593.76102; 1004.62078; 150.77107; 593.76102; 1000.00000;   367
10.29883; 604.75659; 1033.61294; 150.67741; 604.75659; 1000.00000;   337
10.30985; 615.75217; 1008.02846; 155.92094; 615.75217; 1000.00000;   373
10.32052; 626.74774; 1008.95343; 158.19759; 626.74774; 1000.00000;   367
10.33234; 637.74332; 964.86262; 164.46538; 637.74332; 1000.00000;   419
10.34375; 648.73889; 947.97607; 160.91545; 648.73889; 1000.00000;   432
10.35550; 659.73447; 941.48253; 162.73164; 659.73447; 1000.00000;   438
10.36653; 670.73004; 975.30375; 154.98018; 670.73004; 1000.00000;   397
10.37792; 681.72562; 987.92223; 155.23261; 681.72562; 1000.00000;   388
10.38858; 692.72119; 1000.68934; 155.77474; 692.72119; 1000.00000;   375
10.39998; 703.71676; 992.29081; 155.66467; 703.71676; 1000.00000;   388
10.41099; 714.71234; 997.24056; 154.69901; 714.71234; 1000.00000;   381
10.42202; 725.70791; 970.91165; 157.92979; 725.70791; 1000.00000;   413
10.43377; 736.70349; 948.71220; 161.09034; 736.70349; 1000.00000;   435
10.44517; 747.69906; 948.87594; 160.05280; 747.69906; 1000.00000;   432
10.45657; 758.69464; 972.97358; 157.91436; 758.69464; 1000.00000;   404
10.46760; 769.69021; 1001.23606; 153.76706; 769.69021; 1000.00000;   375
10.47829; 780.68579; 1023.89184; 151.91570; 780.68579; 1000.00000;   352
10.48931; 791.68136; 1007.84367; 154.82957; 791.68136; 1000.00000;   376
10.49998; 802.67693; 1012.48384; 153.91690; 802.67693; 1000.00000;   367
10.51136; 813.67251; 979.21226; 158.95456; 813.67251; 1000.00000;   407
10.52275; 824.66808; 957.38567; 159.69035; 824.66808; 1000.00000;   428
10.53449; 835.66366; 942.28935; 161.53372; 835.66366; 1000.00000;   442
10.54590; 846.65923; 981.04697; 156.07522; 846.65923; 1000.00000;   394
10.55657; 857.65481; 1004.71258; 152.34232; 857.65481; 1000.00000;   373
10.56724; 868.65038; 1035.95011; 151.81136; 868.65038; 1000.00000;   340
10.57791; 879.64596; 1022.27356; 156.83816; 879.64596; 1000.00000;   362
10.58895; 890.64153; 1019.71385; 156.08631; 890.64153; 1000.00000;   362
10.59997; 901.63710; 974.61217; 161.66200; 901.63710; 1000.00000;   415
10.61172; 912.63268; 956.22006; 162.57986; 912.63268; 1000.00000;   429
10.62311; 923.62825; 943.50218; 163.45908; 923.62825; 1000.00000;   442
10.63450; 934.62383; 975.56334; 158.53109; 934.62383; 1000.00000;   402
